ID,City,State,Latitude,Longitude,MinPressure1,Date1,Time1,MaxWindDirection2,MaxWindSpeed2,Date2,Time2,PeakGustDir3,PeakGustSpeed3,Date3,Time3,OBS
KTLH,Tallahassee Regional,FL,30.4,-84.35,989.8,10,1953,150,38,10,1940,140,62,10,1925,METAR
KECP,Panama City NW,FL,30.35,-85.8,982.3,10,1653,320,54,10,1813,290,79,10,1853,METAR
KPAM,Tyndall AFB,FL,30.07,-85.59,922.4,10,1653,60,75,10,1712,60,121,10,1715,METAR
K1JO,Holmes County,FL,30.85,-85.6,985.2,10,1757,20,31,10,1809,20,45,10,1809,METAR
K40J,Perry-Foley,FL,30.07,-83.57,9999.9,99,9999,160,23,10,1835,210,39,10,2355,METAR
KAAF,Apalachicola Municipal,FL,29.72,-85.03,985.9,10,1653,170,50,10,1653,160,77,10,1653,METAR
KCTY,Cross City,FL,29.62,-83.1,9999.9,99,9999,170,24,10,1935,190,39,10,2135,METAR
KDTS,Destin Ft Walton Beach Airport,FL,30.4,-86.47,992.3,10,1753,340,36,10,1802,330,48,10,1818,METAR
KMAI,Mariana,FL,30.8,-85.21,995.6,10,1653,70,26,10,1700,70,35,10,1518,METAR
KOZR,Ft Rucker Cairns,AL,31.29,-85.72,988.4,10,2030,340,33,10,2003,320,52,10,2134,METAR
KDHN,Dothn,AL,31.32,-85.45,984.6,10,2053,330,43,10,2220,350,53,10,2121,METAR
29J,Quincy,FL,30.59,-84.56,9999.9,99,9999,120,24,10,1715,100,36,10,1415,METAR
K54J,Defuniak Springs,FL,30.73,-86.15,9999.9,99,9999,10,23,10,1655,10,34,10,1655,METAR
EDN,Enterprise,AL,31.29,-85.9,9999.9,99,9999,330,24,10,2235,330,37,10,2155,METAR
LOR,Lowe AHP Ft Rucker,AL,31.35,-85.75,988.6,10,2038,320,25,10,2243,320,41,10,2243,METAR
SXS,Shell AHP,AL,31.36,-85.85,991.6,10,2041,350,31,10,2113,350,43,10,2232,METAR
17J,Donalsonville,GA,31,-84.88,9999.9,99,9999,110,39,10,1915,110,58,10,1930,METAR
BIJ,Blakely,GA,31.39,-84.89,9999.9,99,9999,70,21,10,1955,70,37,10,1915,METAR
TVI,Thomasville,GA,30.9,-83.88,9999.9,99,9999,170,31,10,2215,170,42,10,2155,METAR
MGR,Moultrie,GA,31.08,-83.8,9999.9,99,9999,170,28,11,10,180,42,11,115,METAR
KVLD,Valdosta,GA,30.79,-83.28,998.4,10,2353,170,30,10,2251,160,41,10,2236,METAR
KVAD,Valdosta Mody AFV,GA,30.97,-83.2,996.9,10,2300,190,29,11,158,170,42,10,2342,METAR
KTMA,Tifton,GA,31.43,-83.49,9999.9,99,9999,160,33,11,115,180,51,11,235,METAR
FZG,Fitzgerald,GA,31.68,-83.27,9999.9,99,9999,180,32,11,315,170,40,11,235,METAR
KABY,Albany Municipal,GA,31.54,-84.18,983.5,10,2253,120,45,10,2335,110,64,10,2330,METAR
,FSU Panama City,FL,30.18,-85.72,956.6,10,1721,999,999,999,999,999,101,10,1716,WeatherStem
,DOMI Station,FL,30.43,-84.29,989.4,10,2131,999,999,999,999,999,41,999,999,WeatherStem
,FAMU Developmental Research School,FL,30.41,-84.29,993.6,10,2115,999,999,999,999,999,45,10,1900,WeatherStem
,Florida State University,FL,30.43,-84.3,993.5,10,2116,999,999,999,999,999,49,10,1825,WeatherStem
,Tallahassee Community College,FL,30.44,-84.34,988,10,2116,999,999,999,999,999,49,10,2024,WeatherStem
,Ballard Partners,FL,30.44,-84.28,989.4,10,2135,999,999,999,999,999,55,10,1911,WeatherStem
,Apalachee Regional Park,FL,30.42,-84.15,993.6,10,2135,999,999,999,999,999,44,10,1944,WeatherStem
,Challenger Learning Center,FL,30.44,-84.28,993.5,10,1850,999,999,999,999,999,47,10,1850,WeatherStem
,Conley Elementary School ,FL,30.41,-84.22,988,10,2116,999,999,999,999,999,46,10,1938,WeatherStem
,Florida State University Schools,FL,30.38,-84.22,990.2,10,2116,999,999,999,999,999,45,10,1926,WeatherStem
,Lee County High School,GA,31.73,-84.16,985.5,10,2102,999,999,999,999,999,44,10,2305,WeatherStem
,UGA Tifton,GA,31.47,-83.53,990.5,11,1939,999,999,999,999,999,44,11,2420,WeatherStem
,Sunbelt Ag Expo,GA,31.13,-83.71,990,10,2345,999,999,999,999,999,38,10,2305,WeatherStem
,Jefferson County EOC,FL,30.5,-83.88,992.9,10,2102,999,999,999,999,999,42,10,2221,WeatherStem
,Holmes County High School,FL,30.78,-85.69,985.5,10,1819,999,999,999,999,999,38,10,1741,WeatherStem
,Emerald Coast Middle School ,FL,30.35,-86.11,993.5,10,1819,999,999,999,999,999,33,10,1742,WeatherStem
,Wakulla High School,FL,30.1,-84.38,993.6,10,1819,999,999,999,999,999,46,10,1536,WeatherStem
,St. George Island Bridge,FL,29.65,-84.88,993.6,10,1616,999,999,999,999,999,70,10,1612,WeatherStem
,FSU Coastal and Marine Lab,FL,29.91,-84.51,991.8,10,1721,999,999,999,999,999,36,10,1745,WeatherStem
,Gulf County EOC,FL,29.81,-85.29,969.8,10,1721,999,999,999,999,999,66,10,1641,WeatherStem
,Port St. Joe Elementary School,FL,29.79,-85.29,986.3,10,1506,999,999,999,999,999,98,10,1637,WeatherStem
,Deane Bozeman School,FL,30.39,-85.69,975.9,10,1722,999,999,999,999,999,37,10,1602,WeatherStem